story_id,prompt_id,model,SMOG,ARI,LFP,MDD,SRP,SPD,SCC,SVL,EPD,ECC,EVL
471,87,GPT-2 (tag),8.548686976883017,7.8726404494382045,0.04201680672268908,2.072501556052651,8.631998168887819,7.337523506964931,1.4042737623713006,3.661339430009346,0.4683454545454546,7.939281861611959,7.125000000000002
473,89,GPT-2 (tag),7.225922671290521,3.4258301158301165,0.008928571428571428,1.7183065509988584,8.473710693574745,6.919531755424621,1.6499873690428162,3.2474576986830237,0.23682631578947366,4.474642004773269,4.940099999999999
476,92,GPT-2 (tag),7.447530270364452,2.2127472527472527,0.0,1.3763071895424837,8.348405495010503,6.22869966597259,1.9534633213043258,3.5594677641866523,0.35339375,3.332331447430458,3.3615000000000004
478,94,GPT-2 (tag),10.577609850970193,7.358243243243244,0.0033222591362126247,1.9695344604069005,8.666463402848066,6.921217285140728,2.112463158413174,3.170245348336184,0.43674500000000005,3.724745213423735,5.597700000000001
481,1,GPT-2,6.7702755914127515,3.5190833333333345,0.0027247956403269754,1.7331198304987558,7.999503620575295,6.559901820271473,1.7304203032295395,3.0031844702452823,0.3073970588235294,5.71307532524325,8.666
486,6,GPT-2,7.554174236665414,3.0293779904306177,0.01909307875894988,1.5710170781599355,8.013746665202033,7.058370201376293,1.973769709686045,3.329404401068092,0.21579024390243898,5.263489797132487,5.6257
493,13,GPT-2,9.085049710711278,5.703204647676159,0.011428571428571429,1.8808573252273195,8.11578832994737,6.888754703647124,1.543776473315625,3.2369648394756485,0.2258260869565218,4.156197487396977,4.0189
494,14,GPT-2,5.900188976854958,1.2257040998217477,0.009569377990430622,1.348822947078761,7.203647986430962,5.579833797348201,3.2775080527490545,3.1086564474121605,0.21412857142857142,3.8937524353812174,5.8599
497,17,GPT-2,7.372421405659032,6.0276766749705,0.04,1.6165811172954028,8.814023106077558,6.883666256452071,2.0042608733864076,3.2122785334370816,0.27307941176470585,5.973172928461143,6.685300000000001
498,18,GPT-2,11.418023490513043,10.58434429303663,0.004705882352941176,2.137193564446999,7.686063746244682,6.894148913598648,1.519639900079473,3.3178947577405644,0.4946944444444445,5.182458386683739,7.2351
499,19,GPT-2,6.112484441749459,1.6933838383838378,0.01529051987767584,1.8321537213590318,8.255027601082325,6.943729329160748,1.8863082085081049,3.1810023925239896,0.1631090909090909,5.277058823529412,3.3273
503,23,GPT-2,5.5874745759252304,2.3776449756529416,0.0038461538461538464,1.8601146384479716,7.470736277029137,5.7503217852771815,1.8590181489090443,2.740361297154573,0.45554999999999995,5.319455672325519,7.7283
506,26,GPT-2,8.384062270229773,4.1356324786324805,0.003663003663003663,1.7307396307396306,7.937771573767667,6.562888520760743,1.57427903259655,3.2810512503413287,0.2739576923076923,2.5334874622087855,4.599599999999999
507,27,GPT-2,8.192908349453996,3.6493257676902573,0.012461059190031152,1.7991950052578303,8.103559924390346,6.944474268202513,1.512836728109389,3.3099610562619985,0.29008333333333336,3.1100350225144737,5.4476
510,30,GPT-2,9.773937934552698,8.045649919542285,0.002976190476190476,2.103610169195239,7.800420331247013,6.741754340419744,1.4660286100102788,3.294658663209535,0.4840555555555555,3.397675869599126,5.958499999999999
512,32,GPT-2,7.087006719466743,4.329628571428572,0.011049723756906077,2.1609621692721994,7.810379094144168,6.520133505176585,1.6489514224727664,3.0217542374772597,0.3771846153846154,5.236157830103049,6.1022
514,34,GPT-2,5.642373280135919,3.1490177055542077,0.012224938875305624,2.0541338789367525,7.923149957389743,6.5440418735753125,2.1483806838218773,2.849567099306248,0.4029,4.283671159584319,9.280999999999999
515,35,GPT-2,6.0311780096671335,3.315026881720428,0.013774104683195593,1.858685635238944,8.865172879335244,7.069329175924168,1.8848710661586867,3.174843717647144,0.1499451612903226,5.144770337576093,2.8758999999999997
516,36,GPT-2,8.278499904357787,4.406208333333332,0.002702702702702703,1.8140531925782792,8.134920761576272,6.689184486182977,1.557509966083705,3.0625539772977786,0.2724060606060606,5.0434245960502695,5.9413
520,40,GPT-2,8.769984970463412,4.130800283286121,0.011204481792717087,1.6213599202729638,7.977768923117799,6.79914830714487,1.6959139881753802,3.1483770278733916,0.2895466666666667,6.2408276654852,7.871700000000001
524,44,GPT-2,6.42735559955562,1.4314728682170532,0.018691588785046728,1.443924565018315,8.314816155004754,6.774999938349957,1.9321726057077453,3.0905582212615665,0.11742127659574468,3.8985589149477247,4.1202000000000005
529,49,GPT-2,5.82211442006289,2.7762414717348953,0.0031446540880503146,1.8313616277901992,7.574828040846052,6.415790210199087,1.8753196739848954,3.0236989508670655,0.2850814814814815,5.8524939172749395,6.657500000000001
531,51,GPT-2,8.764118213836603,4.936388140161728,0.013297872340425532,1.6880648660979545,8.158318667795925,6.739313292929286,1.4112778951076888,3.0641844927791246,0.2592358974358974,5.141738290189696,7.275399999999999
533,53,GPT-2,6.980632752743321,6.783773216031278,0.0033783783783783786,1.9457145209862603,8.14394413598132,6.875626823873724,2.360905269934562,3.176685432458074,0.36374545454545454,4.294054518136939,5.5788
536,56,GPT-2,7.873277556716777,4.557640578051224,0.012096774193548387,1.6502372206917661,7.794257520392717,6.451925364179915,2.1264203176093264,3.064744532952581,0.20793125,3.342442356959863,5.6998
542,62,GPT-2,6.124889420169582,1.5770663265306126,0.0025188916876574307,1.7825028112330839,7.585233653666243,6.523912988034332,1.7671721357365104,2.9778806897812324,0.37669500000000006,6.484399879502518,12.1446
543,63,GPT-2,8.139509932561175,4.652123917038594,0.01020408163265306,1.7002053734132585,8.020715539185504,6.772925850790725,1.7039159948352693,3.331505217623925,0.31672307692307694,3.6206472036581077,5.0698
545,65,GPT-2,8.212053250817874,5.319798850574713,0.007380073800738007,1.323727885517183,8.676106412010654,6.357755677733536,1.6592347243746062,3.2991207543435066,0.16634736842105266,4.151310172719512,4.2904
549,69,GPT-2,7.423996415210883,5.050759285080492,0.0,1.8648017155740266,7.881735762230783,6.224820729842016,1.8554009146565116,2.971898007131541,0.3629652173913044,4.931592627599243,6.8616
560,80,GPT-2,7.242747475848599,3.630808794660382,0.0,1.6476703575256708,7.806975230940183,6.295088792376306,1.7340778528897722,3.048477418889346,0.13208,4.787820202996616,1.9812
561,81,GPT-2,7.225922671290521,2.7295570321151743,0.002544529262086514,1.8093386445487287,7.757358370369181,6.62610429671539,1.9347136921202575,2.782604242429245,0.4045941176470588,8.05586788475053,11.4093
567,87,GPT-2,9.20300075937882,6.002555358008728,0.010752688172043012,1.757350429064312,8.031965918051386,6.601306062217429,1.7553205952713662,3.3337184636217776,0.2881740740740741,2.568565958008715,5.508400000000001
569,89,GPT-2,6.322622252153568,2.1897756968641104,0.013513513513513514,1.7238445378151261,8.269177073086764,6.421584577062086,1.6103609091911042,3.1826210238641575,0.3536303030303031,5.210895289127037,9.492600000000001
571,91,GPT-2,7.048011613610866,2.3357449147883464,0.012461059190031152,1.4465975143277774,8.365872651825644,6.568847653518112,1.6005488420721976,3.0733621063879855,0.2828205128205128,5.306966897613549,6.6636
573,93,GPT-2,6.596605473755783,2.008238193671488,0.015060240963855422,1.6463899399029684,7.722130249667848,6.678719312399427,1.8169840645154978,3.176011786611239,0.2756263157894736,5.705616386119735,7.559400000000001
574,94,GPT-2,8.648137234880735,5.906401826484018,0.005376344086021506,1.8145143163849204,8.23185207026182,6.7913183828987265,1.5323786208471097,3.1567256611460373,0.3770566666666666,5.939147327522839,8.8199
1100,0,Qwen2.5-7B,8.648137234880735,6.444098360655737,0.032432432432432434,2.002496762496763,9.215204189817374,7.070206292630871,1.3693859528555312,3.701782281916504,0.3460357142857143,2.358798325055994,3.7368
1101,1,Qwen2.5-7B,8.021203637495837,8.04722443559097,0.0,2.044225902035944,8.4343474513031,6.7434465538729285,1.3962233396991799,3.2975944152922194,0.5696428571428571,3.0064842041770343,5.1385000000000005
1102,4,Qwen2.5-7B,7.957251820313856,6.108395303326812,0.0136986301369863,1.6668212739641308,8.936843885281386,7.036189559615767,1.3820170747211844,3.970351247276495,0.32643333333333335,1.4495263469508586,1.1073
1103,5,Qwen2.5-7B,10.37721332894763,8.374364858138378,0.02610441767068273,1.7370304423115426,9.024341466543326,7.076591062058896,1.7401565846630072,2.6179493587054936,0.3454,6.274428625744581,11.038799999999998
1104,6,Qwen2.5-7B,11.661520659325951,11.178504091653025,0.04219409282700422,2.124832336037385,9.684424238273921,7.411822089701606,1.4905650963701331,3.5885157607192557,0.17274166666666665,2.977449008905487,1.8372
1105,9,Qwen2.5-7B,10.125756701596842,6.636999999999997,0.022222222222222223,2.091666666666667,9.582317946087477,7.267630916765878,1.2689781868592258,4.283598506041815,0.22126,1.0,1.6520000000000001
1106,10,Qwen2.5-7B,11.698219412168324,14.321938775510198,0.050505050505050504,2.1911538461538465,9.093990126888496,7.538864313365867,1.1458506258253027,4.513794358786796,0.5072,1.2709655863681923,1.4510999999999998
1107,13,Qwen2.5-7B,10.008157457239328,10.420068493150687,0.024390243902439025,2.0639081180257652,9.159665090602072,6.926798362420189,1.4270511021337804,3.261203356636875,0.5414578947368422,5.496447080194477,6.2628
